Batting,Dissmissal,R,B,M,4s,6s,Match,innings
Rohit Sharma (c),c Klaasen b Maharaj,9,5,7,2,0,India vs South Africa,India
Virat Kohli,c Rabada b Jansen,76,59,87,6,2,India vs South Africa,India
Rishabh Pant †,c †de Kock b Maharaj,0,2,2,0,0,India vs South Africa,India
Suryakumar Yadav,c Klaasen b Rabada,3,4,9,0,0,India vs South Africa,India
Axar Patel,run out (†de Kock),47,31,38,1,4,India vs South Africa,India
Shivam Dube,c Miller b Nortje,27,16,32,3,1,India vs South Africa,India
Hardik Pandya,not out,5,2,7,1,0,India vs South Africa,India
Ravindra Jadeja,c Maharaj b Nortje,2,2,1,0,0,India vs South Africa,India
Reeza Hendricks,b Bumrah,4,5,6,1,0,India vs South Africa,India
Quinton de Kock †,c Kuldeep Yadav b Arshdeep Singh,39,31,54,4,1,India vs South Africa,India
Aiden Markram (c),c †Pant b Arshdeep Singh,4,5,4,1,0,India vs South Africa,India
Tristan Stubbs,b Patel,31,21,24,3,1,India vs South Africa,India
Heinrich Klaasen,c †Pant b Pandya,52,27,33,2,5,India vs South Africa,India
David Miller,c Yadav b Pandya,21,17,37,1,1,India vs South Africa,India
Marco Jansen,b Bumrah,2,4,7,0,0,India vs South Africa,India
Keshav Maharaj,not out,2,7,18,0,0,India vs South Africa,India
Kagiso Rabada,c Yadav b Pandya,4,3,5,1,0,India vs South Africa,India
Anrich Nortje,not out,1,1,1,0,0,India vs South Africa,India
Rohit Sharma (c),b Rashid,57,39,57,6,2,India vs England,India
Virat Kohli,b Topley,9,9,10,0,1,India vs England,India
Rishabh Pant †,c Bairstow b Curran,4,6,12,0,0,India vs England,India
Suryakumar Yadav,c Jordan b Archer,47,36,40,4,2,India vs England,India
Hardik Pandya,c Curran b Jordan,23,13,17,1,2,India vs England,India
Ravindra Jadeja,not out,17,9,24,2,0,India vs England,India
Shivam Dube,c †Buttler b Jordan,0,1,1,0,0,India vs England,India
Axar Patel,c Salt b Jordan,10,6,10,0,1,India vs England,India
Arshdeep Singh,not out,1,1,1,0,0,India vs England,India
Phil Salt,b Bumrah,5,8,20,0,0,India vs England,India
Jos Buttler (c)†,c †Pant b Patel,23,15,13,4,0,India vs England,India
Moeen Ali,st †Pant b Patel,8,10,18,0,0,India vs England,India
Jonny Bairstow,b Patel,0,3,2,0,0,India vs England,India
Harry Brook,b Kuldeep Yadav,25,19,21,3,0,India vs England,India
Sam Curran,lbw b Kuldeep Yadav,2,4,4,0,0,India vs England,India
Liam Livingstone,run out (Kuldeep Yadav/Patel),11,16,24,0,0,India vs England,India
Chris Jordan,lbw b Kuldeep Yadav,1,5,6,0,0,India vs England,India
Jofra Archer,lbw b Bumrah,21,15,17,1,2,India vs England,India
Adil Rashid,run out (Yadav),2,2,2,0,0,India vs England,India
Reece Topley,not out,3,3,6,0,0,India vs England,India
Rahmanullah Gurbaz †,c Hendricks b Jansen,0,3,5,0,0,Afghanistan vs South Africa,Afghanistan
Ibrahim Zadran,b Rabada,2,5,15,0,0,Afghanistan vs South Africa,Afghanistan
Gulbadin Naib,b Jansen,9,8,6,2,0,Afghanistan vs South Africa,Afghanistan
Azmatullah Omarzai,c Stubbs b Nortje,10,12,18,2,0,Afghanistan vs South Africa,Afghanistan
Mohammad Nabi,b Rabada,0,3,1,0,0,Afghanistan vs South Africa,Afghanistan
Nangeyalia Kharote,c †de Kock b Jansen,2,7,5,0,0,Afghanistan vs South Africa,Afghanistan
Karim Janat,lbw b Shamsi,8,13,22,1,0,Afghanistan vs South Africa,Afghanistan
Rashid Khan (c),b Nortje,8,8,20,2,0,Afghanistan vs South Africa,Afghanistan
Noor Ahmad,lbw b Shamsi,0,2,2,0,0,Afghanistan vs South Africa,Afghanistan
Naveen-ul-Haq,lbw b Shamsi,2,8,9,0,0,Afghanistan vs South Africa,Afghanistan
Fazalhaq Farooqi,not out,2,2,6,0,0,Afghanistan vs South Africa,Afghanistan
Quinton de Kock †,b Fazalhaq Farooqi,5,8,7,1,0,Afghanistan vs South Africa,Afghanistan
Reeza Hendricks,not out,29,25,44,3,1,Afghanistan vs South Africa,Afghanistan
Aiden Markram (c),not out,23,21,35,4,0,Afghanistan vs South Africa,Afghanistan
Rahmanullah Gurbaz †,c Soumya Sarkar b Rishad Hossain,43,55,69,3,1,Afghanistan vs Bangladesh,Afghanistan
Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,29,46,1,0,Afghanistan vs Bangladesh,Afghanistan
