Bowling,O,M,R,W,ECON,0s,4s,6s,WD,NB,Match,innings,match_id
Marco Jansen,4,0,49,1,12.25,4,5,2,1,1,India vs South Africa,India,1
Keshav Maharaj,3,0,23,2,7.66,10,3,1,0,0,India vs South Africa,India,1
Kagiso Rabada,4,0,36,1,9.00,8,2,2,2,0,India vs South Africa,India,1
Aiden Markram,2,0,16,0,8.00,1,0,1,0,0,India vs South Africa,India,1
Anrich Nortje,4,0,26,2,6.50,7,2,0,2,0,India vs South Africa,India,1
Tabraiz Shamsi,3,0,26,0,8.66,4,1,1,1,0,India vs South Africa,India,1
Arshdeep Singh,4,0,20,2,5.00,12,2,0,0,0,India vs South Africa,India,1
Jasprit Bumrah,4,0,18,2,4.50,14,2,0,0,0,India vs South Africa,India,1
Axar Patel,4,0,49,1,12.25,8,5,3,2,0,India vs South Africa,India,1
Kuldeep Yadav,4,0,45,0,11.25,6,3,3,0,0,India vs South Africa,India,1
Hardik Pandya,3,0,20,3,6.66,9,1,1,1,1,India vs South Africa,India,1
Ravindra Jadeja,1,0,12,0,12.00,0,0,1,0,0,India vs South Africa,India,1
Reece Topley,3,0,25,1,8.33,8,3,1,0,0,India vs England,India,2
Jofra Archer,4,0,33,1,8.25,7,4,0,0,0,India vs England,India,2
Sam Curran,2,0,25,1,12.50,3,2,2,0,0,India vs England,India,2
Adil Rashid,4,0,25,1,6.25,9,3,0,0,0,India vs England,India,2
Chris Jordan,3,0,37,3,12.33,4,0,4,0,0,India vs England,India,2
Liam Livingstone,4,0,24,0,6.00,9,1,1,1,0,India vs England,India,2
Arshdeep Singh,2,0,17,0,8.50,5,3,0,0,0,India vs England,India,2
Jasprit Bumrah,2.4,0,12,2,4.50,8,1,0,0,0,India vs England,India,2
Axar Patel,4,0,23,3,5.75,10,0,1,0,0,India vs England,India,2
Kuldeep Yadav,4,0,19,3,4.75,12,2,0,0,0,India vs England,India,2
Ravindra Jadeja,3,0,16,0,5.33,6,1,0,0,0,India vs England,India,2
Hardik Pandya,1,0,14,0,14.00,1,1,1,0,0,India vs England,India,2
Marco Jansen,3,0,16,3,5.33,13,2,0,4,0,Afghanistan vs South Africa,Afghanistan,3
Keshav Maharaj,1,0,6,0,6.00,3,1,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Kagiso Rabada,3,1,14,2,4.66,13,3,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Anrich Nortje,3,0,7,2,2.33,14,0,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Naveen-ul-Haq,3,0,15,0,5.00,12,2,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Fazalhaq Farooqi,2,0,11,1,5.50,9,2,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Rashid Khan,1,0,8,0,8.00,2,1,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1,Afghanistan vs South Africa,Afghanistan,3
Gulbadin Naib,1,0,8,0,8.00,2,1,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Tanzim Hasan Sakib,4,0,36,0,9.00,9,1,2,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Taskin Ahmed,4,1,12,1,3.00,19,0,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Shakib Al Hasan,4,0,19,0,4.75,11,0,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Mustafizur Rahman,4,0,17,1,4.25,14,2,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Rishad Hossain,4,0,26,3,6.50,13,3,0,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Naveen-ul-Haq,3.5,0,26,4,6.78,12,3,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Fazalhaq Farooqi,2,0,15,1,7.50,3,1,0,2,0,Afghanistan vs Bangladesh,Afghanistan,4
Mohammad Nabi,2,0,15,0,7.50,5,2,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Rashid Khan,4,0,23,4,5.75,9,2,0,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Noor Ahmad,4,0,13,0,3.25,18,2,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Gulbadin Naib,2,0,5,1,2.50,7,0,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Mitchell Starc,4,0,45,2,11.25,12,4,4,1,0,India vs Australia,India,5
Josh Hazlewood,4,0,14,1,3.50,13,1,0,0,0,India vs Australia,India,5
Pat Cummins,4,0,48,0,12.00,5,4,3,0,0,India vs Australia,India,5
Adam Zampa,4,0,41,0,10.25,2,1,3,0,0,India vs Australia,India,5
Marcus Stoinis,4,0,56,2,14.00,6,4,5,1,0,India vs Australia,India,5
Arshdeep Singh,4,0,37,3,9.25,12,4,2,2,0,India vs Australia,India,5
Jasprit Bumrah,4,0,29,1,7.25,11,3,1,0,0,India vs Australia,India,5
Axar Patel,3,0,21,1,7.00,9,2,1,0,0,India vs Australia,India,5
Hardik Pandya,4,0,47,0,11.75,8,4,3,1,0,India vs Australia,India,5
Kuldeep Yadav,4,0,24,2,6.00,9,1,1,0,0,India vs Australia,India,5
Ravindra Jadeja,1,0,17,0,17.00,0,2,1,0,0,India vs Australia,India,5
Marco Jansen,2,0,17,1,8.50,6,2,0,4,0,West Indies vs South Africa,West Indies,6
Aiden Markram,4,0,28,1,7.00,11,1,2,2,0,West Indies vs South Africa,West Indies,6
Keshav Maharaj,4,0,24,1,6.00,10,1,1,0,0,West Indies vs South Africa,West Indies,6
Anrich Nortje,4,0,26,0,6.50,13,1,2,2,0,West Indies vs South Africa,West Indies,6
Tabraiz Shamsi,4,0,27,3,6.75,11,3,1,0,0,West Indies vs South Africa,West Indies,6
Kagiso Rabada,2,0,11,1,5.50,7,0,1,0,0,West Indies vs South Africa,West Indies,6
Akeal Hosein,3,0,31,0,10.33,6,6,0,0,0,West Indies vs South Africa,West Indies,6
Andre Russell,4,0,19,2,4.75,13,2,0,1,0,West Indies vs South Africa,West Indies,6
Alzarri Joseph,4,0,25,2,6.25,9,1,0,1,0,West Indies vs South Africa,West Indies,6
Gudakesh Motie,1,0,20,0,20.00,0,3,1,0,0,West Indies vs South Africa,West Indies,6
Obed McCoy,1.1,0,15,0,12.85,3,1,1,3,0,West Indies vs South Africa,West Indies,6
Roston Chase,3,0,12,3,4.00,10,1,0,0,0,West Indies vs South Africa,West Indies,6
Reece Topley,3,0,29,1,9.66,8,2,2,0,0,U.S.A. vs England,United States of America,7
Jofra Archer,3,0,16,0,5.33,12,1,1,0,0,U.S.A. vs England,United States of America,7
Sam Curran,2,0,23,2,11.50,4,3,1,0,0,U.S.A. vs England,United States of America,7
Adil Rashid,4,0,13,2,3.25,13,0,0,1,0,U.S.A. vs England,United States of America,7
Liam Livingstone,4,0,24,1,6.00,10,1,1,0,0,U.S.A. vs England,United States of America,7
Chris Jordan,2.5,0,10,4,3.52,8,0,0,0,0,U.S.A. vs England,United States of America,7
Saurabh Netravalkar,2,0,21,0,10.50,5,1,2,0,0,U.S.A. vs England,United States of America,7
Harmeet Singh,2,0,36,0,18.00,3,0,5,2,0,U.S.A. vs England,United States of America,7
Nosthush Kenjige,2,0,19,0,9.50,3,3,0,0,0,U.S.A. vs England,United States of America,7
Ali Khan,2,0,26,0,13.00,2,2,0,2,0,U.S.A. vs England,United States of America,7
Shadley van Schalkwyk,1.4,0,15,0,9.00,2,2,0,0,1,U.S.A. vs England,United States of America,7
